composition,temperature,temp_value,element,n_runs,D_ensemble,R2_ensemble,intercept
pt7sn1-1,900K,900,Pt,1,7.695664004821283e-07,0.6942872600467825,6.199413146670273
pt7sn1-1,900K,900,PtSn,1,9.525838158117138e-07,0.6702832513072073,6.547153354150224
pt7sn1-1,900K,900,Sn,1,3.0578684682346425e-06,0.42622646382077994,10.547285632887117
pt6sn2,1000K,1000,Pt,1,1.9528643236917107e-06,0.8600551716345192,10.500852036446737
pt6sn2,1000K,1000,PtSn,1,1.7227928734730403e-06,0.8180494404202687,11.34594257860124
pt6sn2,1000K,1000,Sn,1,5.885552568357725e-07,0.14299032471421416,15.512188267382703
pt6sn2,1100K,1100,Pt,1,1.81217454403949e-06,0.7782826141329234,14.682543453139083
pt6sn2,1100K,1100,PtSn,1,1.7880130962165945e-06,0.7840249576670761,13.956138284151528
pt6sn2,1100K,1100,Sn,1,1.6688975429870846e-06,0.7160491110782277,10.375021520518196
pt6sn2,900K,900,Pt,1,1.257861600862333e-06,0.8476035895226521,8.00815002313248
pt6sn2,900K,900,PtSn,1,1.0100901268499193e-06,0.7647293403006955,8.719225068704187
pt6sn2,900K,900,Sn,1,-2.1140730425664206e-07,0.0646833194760537,12.22477820400603
pt5sn3-1-best,900K,900,Pt,1,1.5565921964173015e-06,0.8599493337064018,8.213369988255563
pt5sn3-1-best,900K,900,PtSn,1,1.2850864427445404e-06,0.8106301067552485,8.876771042062252
pt5sn3-1-best,900K,900,Sn,1,5.414721017605476e-07,0.2555920870965016,10.69372711777669
pt4sn4-2,1000K,1000,Pt,2,5.39212456094183e-06,0.8389385003741315,21.88081625016678
pt4sn4-2,1000K,1000,PtSn,2,5.57673065946535e-06,0.8663058867732438,23.649434122642454
pt4sn4-2,1000K,1000,Sn,2,5.880097937422421e-06,0.8944392443030678,26.55582244377314
pt4sn4-2,600K,600,Pt,1,4.260667034370936e-06,0.8217540119714306,13.683912327798552
pt4sn4-2,600K,600,PtSn,1,4.303928667529205e-06,0.816601210026376,14.205235495759972
pt4sn4-2,600K,600,Sn,1,4.375020914150612e-06,0.806719283707151,15.061927692023175
pt3sn5,1000K,1000,Pt,3,2.0953070043536706e-05,0.9161375919287683,0.5127286958485939
pt3sn5,1000K,1000,PtSn,3,2.1584610172420157e-05,0.9199552165458632,-0.866685479450453
pt3sn5,1000K,1000,Sn,3,2.2207299430667838e-05,0.9221920320659691,-2.226767636523661
pt3sn5,1100K,1100,Pt,3,1.136354578817934e-06,0.5590977625569918,16.278537220180397
pt3sn5,1100K,1100,PtSn,3,1.0403432887927372e-06,0.5637769598529543,17.92855312084737
pt3sn5,1100K,1100,Sn,3,9.456764127236311e-07,0.5241857695254664,19.555453552915303
pt3sn5,700K,700,Pt,1,-2.561304051649297e-07,0.04871964029329929,15.62315587161467
pt3sn5,700K,700,PtSn,1,-6.03721154595338e-09,7.440063946781482e-05,15.59672547041019
pt3sn5,700K,700,Sn,1,2.4055160224935984e-07,0.14136390383235184,15.570664171569037
pt3sn5,800K,800,Pt,1,1.432706702321204e-06,0.763733092434852,5.392869504349216
pt3sn5,800K,800,PtSn,1,1.7176969953045893e-06,0.8966220987732287,7.828256622779676
pt3sn5,800K,800,Sn,1,1.9986956636931225e-06,0.8831158460594932,10.229514852602188
pt3sn5,900K,900,Pt,1,-3.385819418639646e-07,0.2440959778188477,9.51519150610308
pt3sn5,900K,900,PtSn,1,3.940454028693744e-07,0.21835048123881362,10.099681878287246
pt3sn5,900K,900,Sn,1,1.1164079698182067e-06,0.502392923338959,10.675978889506727
pt8sn9-1-best,1000K,1000,Pt,3,1.042075045933333e-05,0.9862843589910025,-3.579182322026746
pt8sn9-1-best,1000K,1000,PtSn,4,8.445923324532674e-06,0.9886409258278556,2.819266012605631
pt8sn9-1-best,1000K,1000,Sn,4,8.346720155624351e-06,0.9869708327159877,7.562455789867606
pt8sn9-1-best,1100K,1100,Pt,5,7.896975086270088e-06,0.9487054712928975,24.41090403662657
pt8sn9-1-best,1100K,1100,PtSn,5,7.972808079063891e-06,0.9408402307110336,28.74287216629461
pt8sn9-1-best,1100K,1100,Sn,5,8.083582215122126e-06,0.9256172578964702,35.07068457439706
pt8sn9-1-best,900K,900,Pt,4,3.2837116846087313e-06,0.9719975107405603,8.120079065857986
pt8sn9-1-best,900K,900,PtSn,5,3.5129366229902594e-06,0.9891315596989471,8.865819066312966
pt8sn9-1-best,900K,900,Sn,5,4.53787018854383e-06,0.9881759815645493,9.44238353642481
pt8sn8-1-best,1000K,1000,Pt,3,3.958290207034606e-06,0.9445259352867321,7.265890290832278
pt8sn8-1-best,1000K,1000,PtSn,4,3.983214946082698e-06,0.9630601174801485,8.544280820761227
pt8sn8-1-best,1000K,1000,Sn,4,4.594604780702147e-06,0.9692942712964194,9.856775965655832
pt8sn8-1-best,1100K,1100,Pt,5,2.72988957292471e-06,0.8586669563143825,19.915865853721197
pt8sn8-1-best,1100K,1100,PtSn,5,2.844347894259132e-06,0.8498058090027276,22.59684597025091
pt8sn8-1-best,1100K,1100,Sn,5,3.0324399784387643e-06,0.8299380755726259,27.0025431331318
pt8sn8-1-best,300K,300,Pt,1,1.394928262390513e-08,0.03331074081238302,0.8100978790723697
pt8sn8-1-best,300K,300,PtSn,1,1.7743628223789917e-08,0.045229875585548356,0.8512092477097744
pt8sn8-1-best,300K,300,Sn,1,2.3978947939696478e-08,0.06276091224387817,0.9187681230175552
pt8sn8-1-best,700K,700,Pt,1,4.029307700481334e-06,0.9208273610251537,1.6980378312887225
pt8sn8-1-best,700K,700,PtSn,1,5.1080848362021765e-06,0.927968465153669,1.6335814644471789
pt8sn8-1-best,700K,700,Sn,1,6.880857020131132e-06,0.9318286074386332,1.5276611725148044
pt8sn8-1-best,900K,900,Pt,4,2.211587120607496e-06,0.9054483157106206,9.040414917458182
pt8sn8-1-best,900K,900,PtSn,4,2.365006759741058e-06,0.8777722241286983,11.643695228067239
pt8sn8-1-best,900K,900,Sn,4,2.617123248576002e-06,0.8299101390998046,15.921713257578864
pt8sn7-1-best,1100K,1100,Pt,2,2.1881794017096076e-06,0.9230254911049607,9.90695497922969
pt8sn7-1-best,1100K,1100,PtSn,2,3.2239924060529787e-06,0.9682531169118128,8.542496381154304
pt8sn7-1-best,1100K,1100,Sn,2,5.169328953722863e-06,0.9724916154189928,5.979937869101853
pt8sn7-1-best,300K,300,Pt,1,7.363787065671244e-08,0.7738499909639643,0.24746567623565835
pt8sn7-1-best,300K,300,PtSn,1,6.820338454837406e-08,0.7676785316538881,0.2822198141318242
pt8sn7-1-best,300K,300,Sn,1,5.799701678455666e-08,0.7256668994446339,0.34749082507428836
pt8sn7-1-best,400K,400,Pt,1,3.173627358086116e-07,0.8930897434338376,0.4650121373550722
pt8sn7-1-best,400K,400,PtSn,1,4.602668441277631e-07,0.8929574030487346,0.5308181067187694
