composition,temperature,temp_value,element,n_runs,n_runs_original,n_runs_filtered,D_ensemble,R2_ensemble,intercept
Sn7Pt4O3,900K,900,Pt,4,6,2,2.2510067846791173e-06,0.9405842212534696,7.492435786502954
Sn7Pt4O3,900K,900,PtSn,5,6,1,1.5309257637194132e-06,0.9036384871608287,6.804713739192808
Sn7Pt4O3,900K,900,Sn,5,6,1,1.2087226959991887e-06,0.8567637360308775,5.551213715520827
O3Sn5Pt3,1000K,1000,Pt,6,6,0,1.9889329502864903e-06,0.9782852770920509,4.6866595241325
O3Sn5Pt3,1000K,1000,PtSn,6,6,0,1.8930770813087635e-06,0.986557920249502,3.8411272924681548
O3Sn5Pt3,1000K,1000,Sn,6,6,0,1.7985639617430318e-06,0.9894745812674355,3.007441183210503
O3Sn5Pt3,1100K,1100,Pt,5,6,1,8.449681906328231e-07,0.9707282232153929,2.022402402749578
O3Sn5Pt3,1100K,1100,PtSn,3,6,3,6.511602391896264e-07,0.9005250605261161,2.2577917554482205
O3Sn5Pt3,1100K,1100,Sn,3,6,3,5.860824034429173e-07,0.8009301512966851,2.2065454538969167
O3Sn5Pt3,200K,200,Pt,5,6,1,-1.2710871657660473e-09,0.007371813074514475,0.21859411291591732
O3Sn5Pt3,200K,200,PtSn,5,6,1,-7.616809729130334e-10,0.0038797486272596528,0.18228717886487467
O3Sn5Pt3,200K,200,Sn,5,6,1,-2.59412365450916e-10,0.0006930462720870168,0.14648889395294953
O3Sn5Pt3,300K,300,Pt,6,6,0,5.218232099243783e-09,0.29709836393877875,0.15144099427050597
O3Sn5Pt3,300K,300,PtSn,6,6,0,4.5757494450313e-09,0.3274796723537067,0.13970360995953984
O3Sn5Pt3,300K,300,Sn,6,6,0,3.942263789924432e-09,0.33157148420784127,0.1281306598109332
O3Sn5Pt3,400K,400,Pt,5,6,1,6.072872583214874e-09,0.20743036157228933,0.20896749404158585
O3Sn5Pt3,400K,400,PtSn,5,6,1,5.080136483014241e-09,0.22347096138997485,0.19470780647362426
O3Sn5Pt3,400K,400,Sn,3,6,3,3.894663771293469e-09,0.1758146778778638,0.17097014816821365
O3Sn5Pt3,500K,500,Pt,6,6,0,3.2885085410915783e-08,0.6693942361845627,0.3231559673489249
O3Sn5Pt3,500K,500,PtSn,6,6,0,2.6745778549346443e-08,0.6645800718220644,0.3044945616063412
O3Sn5Pt3,500K,500,Sn,6,6,0,2.06924874658646e-08,0.6246102744093003,0.28609454504041787
O3Sn5Pt3,600K,600,Pt,5,6,1,-6.166187102573583e-10,0.00031210795543068156,0.5852662626584346
O3Sn5Pt3,600K,600,PtSn,5,6,1,-1.1147426921136194e-09,0.0014147030774761074,0.5244963245340916
O3Sn5Pt3,600K,600,Sn,5,6,1,-1.6058963223960843e-09,0.0039702951193185225,0.46457777571789793
O3Sn5Pt3,700K,700,Pt,6,6,0,8.236034695917851e-08,0.5166794699210266,1.3370586798623334
O3Sn5Pt3,700K,700,PtSn,6,6,0,9.409525702643094e-08,0.6923768605770766,1.166086366977555
O3Sn5Pt3,700K,700,Sn,6,6,0,1.0566577726934697e-07,0.8187017719798846,0.997509142382022
O3Sn5Pt3,800K,800,Pt,5,6,1,3.4036824600981924e-07,0.8980130649731551,1.7364803896150498
O3Sn5Pt3,800K,800,PtSn,5,6,1,4.892747061614389e-07,0.9428578644877152,1.3454493701995016
O3Sn5Pt3,800K,800,Sn,5,6,1,6.360948388691595e-07,0.9422164914141035,0.9598967260249482
O3Sn5Pt3,900K,900,Pt,5,6,1,6.179446650921762e-07,0.9350963483045209,1.1413143542613513
O3Sn5Pt3,900K,900,PtSn,5,6,1,6.39134399452026e-07,0.9685522878061926,1.3506147365037915
O3Sn5Pt3,900K,900,Sn,5,6,1,6.600273088173586e-07,0.9795118251397087,1.5569822133496052
O3Sn4Pt2,1000K,1000,Pt,5,6,1,4.408859420445769e-07,0.897422442744704,2.2851085235206763
O3Sn4Pt2,1000K,1000,PtSn,5,6,1,2.133856755089452e-07,0.8871933289780047,1.4926578453188502
O3Sn4Pt2,1000K,1000,Sn,5,6,1,2.6458363316439e-08,0.42843019974016794,0.8415346498215017
O3Sn4Pt2,1100K,1100,Pt,5,6,1,1.0071095259800787e-07,0.20717463729830615,4.429316277146824
O3Sn4Pt2,1100K,1100,PtSn,5,6,1,4.046585624897916e-08,0.14052798667190103,2.701305486118749
O3Sn4Pt2,1100K,1100,Sn,3,6,3,-1.0598020175131774e-08,0.03980168300036957,1.26104694519225
O3Sn4Pt2,200K,200,Pt,6,6,0,5.3519148956562865e-11,0.0007447568708820061,0.04555702608732968
O3Sn4Pt2,200K,200,PtSn,6,6,0,2.1132226273730617e-10,0.025122992035452717,0.04168644015884593
O3Sn4Pt2,200K,200,Sn,6,6,0,3.409828412813331e-10,0.073226335336129,0.03850614169846352
O3Sn4Pt2,300K,300,Pt,6,6,0,-3.0472469220647555e-10,0.014603838216356997,0.06710662481715023
O3Sn4Pt2,300K,300,PtSn,6,6,0,3.0084022838058234e-11,0.00024681115628777167,0.06527905954883537
O3Sn4Pt2,300K,300,Sn,6,6,0,3.0518198389386925e-10,0.021027681925029816,0.06377742604717553
