group_key,composition,temperature,element,run_id,gmx_D,filepath,reason
O2Sn8Pt7_1100K_Pt,O2Sn8Pt7,1100K,Pt,9,2.211e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2-3\O2Sn8Pt7\1100K\T1100.r9.gpu0_msd_Pt.xvg,Intercept>10.0A²
O2Sn8Pt7_1100K_Pt,O2Sn8Pt7,1100K,Pt,9,7.870000000000002e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2\O2Sn8Pt7\1100K\T1100.r9.gpu0_msd_Pt.xvg,Intercept>10.0A²
O2Sn8Pt7_1100K_Pt,O2Sn8Pt7,1100K,Pt,29,1.2930000000000002e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Sn8Pt7\1100K\T1100.r29.gpu0_msd_Pt.xvg,Intercept>10.0A²
O2Sn8Pt7_1100K_PtSn,O2Sn8Pt7,1100K,PtSn,9,2.3880000000000003e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2-3\O2Sn8Pt7\1100K\T1100.r9.gpu0_msd_PtSn.xvg,Intercept>10.0A²
O2Sn8Pt7_1100K_PtSn,O2Sn8Pt7,1100K,PtSn,9,1.1940000000000001e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2\O2Sn8Pt7\1100K\T1100.r9.gpu0_msd_PtSn.xvg,Intercept>10.0A²
O2Sn8Pt7_400K_Pt,O2Sn8Pt7,400K,Pt,8,-3e-09,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Sn8Pt7\400K\T400.r8.gpu0_msd_Pt.xvg,IQR_outlier
O2Sn8Pt7_400K_PtSn,O2Sn8Pt7,400K,PtSn,8,-0.0,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Sn8Pt7\400K\T400.r8.gpu0_msd_PtSn.xvg,IQR_outlier
O2Sn8Pt7_500K_Pt,O2Sn8Pt7,500K,Pt,9,1.96e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Sn8Pt7\500K\T500.r9.gpu0_msd_Pt.xvg,IQR_outlier
O2Sn8Pt7_500K_PtSn,O2Sn8Pt7,500K,PtSn,9,2.08e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Sn8Pt7\500K\T500.r9.gpu0_msd_PtSn.xvg,IQR_outlier
O2Sn8Pt7_500K_Sn,O2Sn8Pt7,500K,Sn,9,2.2500000000000002e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Sn8Pt7\500K\T500.r9.gpu0_msd_Sn.xvg,IQR_outlier
