series,sn_num,temperature,temp_value,n_pt,n_sn,total_atoms,q6,q6_std,pt_q6,sn_q6,pt_cn_total,pt_pt_bonds_per_pt,pt_sn_bonds_per_pt,sn_cn_total,sn_sn_bonds_per_sn,sn_pt_bonds_per_sn,rg,d_sn_pt,n_runs
Pt8Snx,3,300K,300,8.0,3.0,11.0,0.16833905518310832,0.026689108114266204,0.0,0.0,3.6194094617723946,0.29601920097886397,0.15640698174268544,3.688088528103904,0.11713541697553802,1.1122274257257632,2.6683492078252327,0.37558154960787976,10
Pt8Snx,3,400K,400,8.0,3.0,11.0,0.17223320524469435,0.031126285044791903,0.0,0.0,3.582521129194086,0.2919180958405796,0.15589704530868118,3.679942797872987,0.11804638820704032,1.1086012110839554,2.6751703525708743,0.3508735653821926,10
Pt8Snx,3,500K,500,8.0,3.0,11.0,0.17969272502819827,0.0348767696296482,0.0,0.0,3.5332662550744383,0.28970987250934926,0.15194840937495552,3.5562535592751843,0.10489583086982227,1.0805220222219059,2.774697157952473,0.4772395714831753,10
Pt8Snx,3,600K,600,8.0,3.0,11.0,0.22948461362906286,0.050932117862045434,0.0,0.0,3.5249999385481225,0.30426619464433163,0.1363587976741836,3.118426634845899,0.06981298370999403,0.9696625612386389,2.8728372172275054,0.6249222372696478,10
Pt8Snx,3,700K,700,8.0,3.0,11.0,0.21912342851124694,0.04843094783461705,0.0,0.0,3.4766616784861766,0.29471172379363797,0.13987098601713416,3.1973633810836404,0.07114967090603723,0.9946381227885095,2.8840656948357113,0.5482267069484994,10
Pt8Snx,3,800K,800,8.0,3.0,11.0,0.1957343164542867,0.05029740400063372,0.0,0.0,3.489875805444291,0.29600133485025854,0.14023314083027777,3.22981425176075,0.07939130468271918,0.9972134459041972,2.8493261651268194,0.5122893423972613,10
Pt8Snx,3,900K,900,8.0,3.0,11.0,0.20311739684684954,0.053463877725417205,0.0,0.0,3.4244081889931883,0.2903382524176764,0.13771277120647216,3.1633748432482056,0.07516746361448892,0.9792908174682463,2.88190288826915,0.5390678034105536,10
Pt8Snx,3,1000K,1000,8.0,3.0,11.0,0.18891217520928943,0.04797933327228178,0.0,0.0,3.4350528358812604,0.28843520070889184,0.1409464037762657,3.256898504305844,0.08334729680405846,1.0022855379645563,2.86026523929524,0.47196114769034275,10
Pt8Snx,3,1100K,1100,8.0,3.0,11.0,0.18932608176753782,0.048582465544080154,0.0,0.0,3.4138195720338587,0.2895289041330225,0.13719854237120982,3.189087337795946,0.08739503351449004,0.9756340790841586,2.875253080358507,0.506753007056074,10
Pt8Snx,4,200K,200,8.0,4.0,12.0,0.19299255736869078,0.02090778607605705,0.0,0.0,4.083342648584804,0.31223394695825796,0.19818388411484258,3.5902535792525327,0.10482785835376306,0.7927355364593703,2.723008918721393,0.5775590049847167,7
Pt8Snx,4,300K,300,8.0,4.0,12.0,0.18907103672347256,0.023196845735210553,0.0,0.0,4.065618766874026,0.311330761652594,0.19687158420665932,3.5667147837021154,0.1041923590988916,0.7874863368266373,2.7296671013574327,0.5846417679162161,10
Pt8Snx,4,400K,400,8.0,4.0,12.0,0.1868738023433017,0.02494301289644801,0.0,0.0,4.049557129396147,0.3103241642788226,0.1958704768956958,3.549422725506298,0.10387377379379126,0.7834819075827832,2.7349898313933094,0.5872126539080351,10
Pt8Snx,4,500K,500,8.0,4.0,12.0,0.1830662363698215,0.026478471193676058,0.0,0.0,4.032483799701603,0.3093037472842847,0.19475672767841562,3.5302840067482473,0.10354409097339923,0.7790269107136625,2.7413327502973917,0.5926704924533581,10
Pt8Snx,4,600K,600,8.0,4.0,12.0,0.16976392767495496,0.04080931660180469,0.0,0.0,3.9426084322822215,0.29574430275232416,0.19708175128295352,3.581048333377732,0.10693507821261883,0.7883270051318141,2.797954628613837,0.6045647560509464,10
Pt8Snx,4,700K,700,8.0,4.0,12.0,0.19516191196728194,0.053453828779226956,0.0,0.0,3.7140019034521985,0.2869334614643342,0.17731677646719063,3.181200043379183,0.08603290497603325,0.7092671058687625,2.97874111376881,0.7234964719142659,10
Pt8Snx,4,800K,800,8.0,4.0,12.0,0.19358086048413733,0.050119220235016845,0.0,0.0,3.6576992361318155,0.2822551880613307,0.1749572164551462,3.1511516076491977,0.08795903609171456,0.6998288658205848,2.997844791454456,0.7087638761371184,10
Pt8Snx,4,900K,900,8.0,4.0,12.0,0.18168929626799085,0.04615618495684641,0.0,0.0,3.695941308229422,0.28357708906829127,0.17841557446038642,3.2312221065054105,0.09414322878480694,0.7136622978415457,2.960801711174972,0.6718456927535372,10
Pt8Snx,4,1000K,1000,8.0,4.0,12.0,0.1752289677125937,0.04322206849723683,0.0,0.0,3.6719824731285486,0.2797172728749076,0.17928053626616086,3.2599083984644017,0.09785495455145708,0.7171221450646434,2.9560310913963965,0.6428634654833579,10
Pt8Snx,4,1100K,1100,8.0,4.0,12.0,0.170748920555493,0.04258348159513712,0.0,0.0,3.641636419859757,0.27631410569256,0.17889044678990962,3.262238548495059,0.09999784996412622,0.7155617871596385,2.9655448743078945,0.6208734647592363,10
Pt8Snx,5,200K,200,8.0,5.0,13.0,0.17086981965366294,0.01857736030905214,0.0,0.0,4.5988300475549035,0.33611960671277036,0.23873414923159256,3.4449183843046973,0.07782425482806259,0.6111594220328769,2.8177056754156884,0.9362717699533457,7
Pt8Snx,5,300K,300,8.0,5.0,13.0,0.1624596196084651,0.01919831907625051,0.0,0.0,4.469198846620587,0.32128876581856514,0.23736109000900832,3.4215626650006605,0.07666814257707077,0.6076443904230612,2.861200078356916,0.8824439788210071,10
Pt8Snx,5,400K,400,8.0,5.0,13.0,0.1584401216655409,0.021901374448244717,0.0,0.0,4.420444033643842,0.31698529937019765,0.2355702048352828,3.3979897441054767,0.07653822444277131,0.6030597243783242,2.871888788186464,0.8796050035306662,10
Pt8Snx,5,500K,500,8.0,5.0,13.0,0.16315980080060055,0.027954961254860154,0.0,0.0,4.577613425331729,0.3375127978759306,0.23468888029053567,3.4211126963680636,0.08341900572984134,0.6008035335437713,2.8074298905231574,0.9410812683594558,10
